streamer,gifted_subs,gifted_tier1_subs,gifted_tier2_subs,gifted_tier3_subs,prime_subs,tier1_subs,tier2_subs,tier3_subs,total_subs,bits
2wintails,12,12,0,0,8,28,0,1,49,2404
5up,78,78,0,0,54,115,0,3,250,200
admiralbahroo,1122,1122,0,0,1236,1594,15,23,3990,70525
aicandii,95,95,0,0,35,153,3,2,288,6696
akamikarubi,0,0,0,0,537,407,0,17,961,62057
akarindao,0,0,0,0,497,347,0,7,851,80986
alekirser,992,992,0,0,60,90,2,5,1149,7066
amakipururu,0,0,0,0,282,270,1,2,555,14504
aoi_sakura3,0,0,0,0,23,23,0,0,46,14823
artemisoftheblue,2,2,0,0,3,14,1,1,21,0
ash,31,31,0,0,24,45,2,4,106,100
ashtonmarten,188,188,0,0,28,72,2,4,294,1447
bajiru_EN,194,194,0,0,2,29,0,3,228,27386
bao,963,963,0,0,144,555,10,20,1692,63260
beribug,260,260,0,0,13,69,2,2,346,9000
beyumi_,51,51,0,0,6,80,1,8,146,1400
bino,135,135,0,0,8,77,2,10,232,1718
bodegarrat,150,150,0,0,14,82,4,5,255,4562
briatcookiebox,44,44,0,0,4,24,2,5,79,18204
buffpup,655,655,0,0,166,587,51,26,1485,182961
buni,1181,1181,0,0,19,107,1,10,1318,10480
calliecalico,123,123,0,0,8,99,9,7,246,24186
camila,1116,1115,1,0,117,480,4,13,1730,82960
cerberVT,26756,26746,0,10,163,601,11,80,27611,973766
chainavt,75,75,0,0,14,80,2,4,175,10238
chibidoki,2750,2750,0,0,511,918,29,31,4239,222698
chromuchromu,61,61,0,0,31,121,0,5,218,6633
clauvio,137,137,0,0,11,74,0,0,222,7300
codemiko,1751,1751,0,0,69,133,4,10,1967,589691
coqui,394,394,0,0,45,254,3,24,720,62215
cottontailva,1446,1439,0,7,182,486,8,30,2152,143978
crayonvt,35,35,0,0,48,60,1,3,147,20705
crelly,16150,16068,33,49,202,351,9,49,16761,699809
cupic,6,6,0,0,28,43,1,2,80,1
cvnka,200,200,0,0,9,45,0,1,255,2938
cyphi,56,56,0,0,3,26,0,1,86,5110
deme,876,876,0,0,200,454,9,23,1562,30455
dokibird,5,5,0,0,21,35,1,2,64,3000
dreaminspirit,43,43,0,0,3,47,0,10,103,1810
dyarikku,10485,10479,5,1,83,522,18,34,11142,181800
ebiko,68,68,0,0,28,104,4,7,211,8386
ecto,242,242,0,0,19,101,2,3,367,14533
eden,1944,1944,0,0,20,217,19,28,2228,311004
eeiris,467,462,5,0,30,57,1,2,557,10855
Ellie_Minibot,931,921,10,0,56,261,3,7,1258,11307
elly,649,643,5,1,145,156,9,23,982,17343
ellyen,235,235,0,0,13,83,2,4,337,32977
emikukis,43,43,0,0,45,103,3,1,195,50758
emtsmaru,0,0,0,0,28,18,0,0,46,925
eros,416,416,0,0,30,229,20,20,715,43194
essie_ch,59,59,0,0,5,39,5,1,109,4804
fallenshadow,1964,1964,0,0,283,535,23,61,2866,111614
fangguu,5,5,0,0,7,52,0,1,65,215
fefe,221,221,0,0,29,149,5,2,406,43226
filian,7631,7625,5,1,462,972,12,30,9107,525171
froggyhoppins,80,80,0,0,7,66,0,10,163,5580
FroggyLoch,668,668,0,0,70,216,3,7,964,72126
fufu,2420,2396,0,24,32,197,9,40,2698,138797
fuxelbau,546,546,0,0,88,138,10,15,797,13011
geega,1913,1913,0,0,126,436,8,64,2547,63858
girl_dm_,775,768,7,0,58,291,6,17,1147,51274
giwi,304,304,0,0,80,124,2,13,523,13066
gokigennanamechan,0,0,0,0,8,15,0,3,26,1700
grape,227,227,0,0,17,142,3,5,394,12954
grimmi,748,748,0,0,126,348,7,8,1237,61840
gx_aura,53,53,0,0,23,79,1,6,162,34377
hackerling,336,336,0,0,71,138,5,2,552,9010
hajime,12,12,0,0,2,9,0,0,23,0
hannahhyrule,248,248,0,0,28,101,2,8,387,29929
hatsukaneru,0,0,0,0,21,70,4,5,100,107041
heavenlyfather,160,160,0,0,26,94,2,1,283,10024
henemimi,74,74,0,0,17,130,15,8,244,8739
henyathegenius,5467,5467,0,0,401,1036,28,45,6977,517153
hiiragitsurugi,0,0,0,0,1004,579,1,1,1585,101299
hinabobina,365,365,0,0,30,150,1,2,548,7969
hinanotachiba7,0,0,0,0,29,33,0,0,62,1801
hiranokokoro,1,1,0,0,1,5,0,1,8,0
honey_goblin,429,429,0,0,32,125,3,2,591,31900
ikumi,772,772,0,0,25,100,1,8,906,15600
imakuni,35,35,0,0,7,46,1,2,91,2571
inislein,213,213,0,0,35,107,2,10,367,13625
irelyth,8,8,0,0,3,25,0,3,39,58267
ironmouse,3763,3723,20,20,964,2452,43,61,7283,337462
JeanFaymas,475,474,1,0,39,208,6,30,758,33921
jinja,1046,1046,0,0,124,435,17,39,1661,62354
jongie,0,0,0,0,3,214,1,5,223,8012
JuniperActias,1485,1480,5,0,96,328,11,13,1933,20306
kanekolumi,197,197,0,0,118,308,3,11,637,443704
kendomurft,66,66,0,0,22,97,1,2,188,7302
kenji,733,733,0,0,631,759,6,5,2134,58841
kirsche,2144,2144,0,0,186,247,16,14,2607,80976
kitanya_is_here,1796,1796,0,0,39,149,7,21,2012,70695
KokoNuts,5513,5513,0,0,97,340,11,29,5990,1520118
kqsii,0,0,0,0,30,56,2,3,91,69540
kspksp,346,346,0,0,8,1245,25,39,1663,240255
kuul,521,521,0,0,1,28,1,2,553,506
Leaflit,1625,1625,0,0,106,228,15,7,1981,118174
leeandlie,1387,1387,0,0,235,529,11,24,2186,81914
limealicious,1523,1523,0,0,542,1170,40,39,3314,58209
lolotus,139,139,0,0,8,38,0,2,187,2420
longlivereya,182,182,0,0,10,50,5,6,253,600
LordAethelstan,161,161,0,0,61,258,1,0,481,34310
lucypyre,1384,1384,0,0,157,372,14,52,1979,138430
lumituber,1632,1632,0,0,37,191,5,7,1872,296981
lunaria,212,212,0,0,30,46,7,8,303,10980
lunywoo,446,446,0,0,36,142,3,13,640,16915
lyra,16,16,0,0,23,90,9,16,154,1200
MakoFukasame,533,533,0,0,37,121,4,14,709,14720
manamebin,31,31,0,0,3,24,1,3,62,2900
mayularkspur,20,20,0,0,4,33,5,9,71,1913
meat,224,221,0,3,70,292,5,9,600,18208
megalodonvt,539,539,0,0,25,110,6,5,685,43327
meicha,275,275,0,0,29,199,8,14,525,39787
merryweather,657,657,0,0,7,68,3,6,741,13745
michimochievee,1700,1690,0,10,219,1053,10,17,2999,680644
miia,607,606,0,1,20,97,3,17,744,25256
milky,350,350,0,0,25,84,6,7,472,37866
minaaoyama,3356,3356,0,0,104,209,7,12,3688,37440
minikomew,1739,1739,0,0,47,217,6,22,2031,102104
mintcastella,58,58,0,0,30,103,1,4,196,21201
mizukimilk723,0,0,0,0,1,24,0,0,25,100
momotexx,29,29,0,0,4,33,1,0,67,1700
motherv3,511,511,0,0,40,148,3,16,718,90748
murdercrumpet,11016,10996,1,19,96,362,4,50,11528,6430
mysticlight,2623,2603,0,20,54,211,8,38,2934,393317
nacho_dayo,29,29,0,0,123,198,3,6,359,14253
naiyospede,98,98,0,0,10,44,3,6,161,1100
nekrolina,561,561,0,0,26,163,12,34,796,79165
nephtunie,167,167,0,0,31,48,0,3,249,45103
nerumerotwitch,0,0,0,0,0,1,0,0,1,0
nihmune,4482,4482,0,0,178,801,13,42,5516,248903
nimuvt,13,13,0,0,1,8,0,0,22,1300
ninaninin,181,181,0,0,18,133,10,13,355,4750
noodlewolfvt,192,192,0,0,62,133,3,32,422,70162
nootie,96,96,0,0,18,64,5,10,193,6500
NyanaBanyanaVT,142,142,0,0,12,37,1,2,194,2080
nyanners,532,532,0,0,109,326,6,0,973,79050
nyxie,2189,2189,0,0,40,129,7,25,2390,73618
obkatiekat,287,282,0,5,36,309,10,17,659,12730
oliviamonroe,1112,1111,0,1,46,257,9,15,1439,42100
onigiri,721,721,0,0,69,196,4,3,993,163350
overezeggs,674,674,0,0,40,198,9,17,938,85541
parasi,458,458,0,0,19,89,2,3,571,17446
petit2434,0,0,0,0,9,8,0,0,17,1310
PorcelainMaid,810,810,0,0,95,383,7,5,1300,47989
projektmelody,652,652,0,0,53,269,4,16,994,23864
rainhoe,456,456,0,0,72,249,2,15,794,37035
ramuneshiranami,0,0,0,0,226,188,0,1,415,19160
ran_hinokuma,0,0,0,0,20,27,0,0,47,2755
ReiyuGuiGui,6,6,0,0,6,52,3,1,68,10311
ren0809k,652,652,0,0,0,359,6,11,1028,1703
renniesaurus,186,186,0,0,28,109,8,4,335,6800
rinpenrose,82,82,0,0,44,56,1,3,186,33346
roko,5,5,0,0,6,36,0,1,48,9910
rosedoodle,1185,1185,0,0,101,284,17,17,1604,241023
